Date,Tweet
25-11-22 2:19,"b'Thanksgiving food is fucking gross, give me some mexican food not this white people shit'"
25-11-22 2:15,b'@BornAKang I don\xe2\x80\x99t see Kendall Jenner doing this. She\xe2\x80\x99s just cashing checks! And exploiting Mexican people paying them pennies !!! https://t.co/KQ1hktiV1q'
25-11-22 2:10,"b'@muskQu0tes @elonmusk There are a lot of blue collar workers,veterans god fearing gender specific red blooded white Black asian Mexican people out there that love our great nation that would love to have a job working for a real man or woman'"
25-11-22 2:10,"b'@Patbacknitro @lut_genavense @ReviewsPossum The intersection of ""people with money"" ""people who need an organ"" and ""people not informed enough to buy a shady mexican kidney"" is just inevitably small because organ compatibility is not some super niche poorly understood / sparsely documented fact like it was in say 1920s'"
25-11-22 2:08,"b""@KANA9371 Taco bell doesn't exist in my country but I have heard Mexican people say taco bell in US is fakest of fake tacos to ever exist, which just makes this funnier"""
25-11-22 2:06,"b'Ok, i don\xe2\x80\x99t really celebrate Thanksgiving since I\xe2\x80\x99m Mexican, but still, I always is a good enough time to say thanks \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\n\nAnd tbh I\xe2\x80\x99m extremely thankful for the people that are in my life. For all the amazing people that I got to befriend because of this fandom, for -&gt;'"
25-11-22 2:02,"b'@gepehill1 If there was a quality Multicultural History class taught people would be more knowledgeable about all the success that men &amp; women former slaves had. How men &amp; women fleeing the Mexican/American war, coming to the US - became successful like my grandparents.'"
25-11-22 1:55,"b'I still sing the American national anthem, just as much as I sing the Mexican one. Don\xe2\x80\x99t invalidate other people\xe2\x80\x99s experiences because you aren\xe2\x80\x99t able to comprehend them. \n\nThat being said, I\xe2\x80\x99m hoping England wins \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf (3/3)'"
25-11-22 1:55,"b'represent me. Especially hearing how some of their fans talk about my people back home. I\xe2\x80\x99m sure there are Mexican-Americans who feel strong ties to the USMNT and that is just as valid an experience. After all, it\xe2\x80\x99s what makes being Chicano/a so unique. (2/3)'"
25-11-22 1:53,b'@marshmathers7 @ashCr___ @KSI \xe2\x80\x9cHe can\xe2\x80\x99t do a boxing match every week\xe2\x80\x9d \xf0\x9f\x92\x80 he fought Logan in 2019 and since then fought a fatass rapper and a hunger deprived Mexican kid. People hate on KSI now because he talks all this shit on Jake but will never compete with the same caliber of fighters cause he fuckin sux'
